BlockNumber	SequenceNumber	EventNumber	Time	isHit	target	pressed	sequence
2	21	3	4382	1	1	1	0
2	21	4	4882	1	4	4	0
2	21	5	5483	1	3	3	0
2	21	6	5983	1	1	1	0
2	21	7	6632	1	2	2	0
2	21	8	7114	1	4	4	0
2	22	1	1150	1	2	2	0
2	22	2	4099	1	3	3	0
2	22	3	4531	1	1	1	0
2	22	4	5066	1	4	4	0
2	22	5	5681	1	3	3	0
2	22	6	6215	1	1	1	0
2	22	7	6899	1	2	2	0
2	22	8	7364	1	4	4	0
2	23	1	748	1	1	1	2
2	23	2	4383	1	3	3	2
2	23	3	4999	1	4	4	2
2	23	4	5515	1	2	2	2
2	23	5	6131	1	4	4	2
2	23	6	6530	1	1	1	2
2	23	7	7113	1	3	3	2
2	23	8	7480	1	2	2	2
2	24	1	984	1	2	2	0
2	24	2	3534	0	3	4	0
2	24	3	4483	1	1	1	0
2	24	4	5216	1	4	4	0
2	24	5	5915	1	3	3	0
2	24	6	6348	1	1	1	0
2	24	7	6898	1	2	2	0
2	24	8	7366	1	4	4	0
1	25	1	1180	1	3	3	1
1	25	2	3765	1	4	4	1
1	25	3	4396	1	2	2	1
1	25	4	4879	1	1	1	1
1	25	5	5497	1	3	3	1
1	25	6	5963	1	2	2	1
1	25	7	6431	1	4	4	1
1	25	8	6847	1	1	1	1
2	26	1	1097	1	2	2	0
2	26	2	3547	1	3	3	0
2	26	3	3996	1	1	1	0
2	26	4	4481	1	4	4	0
2	26	5	5079	1	3	3	0
2	26	6	5730	1	1	1	0
2	26	7	6179	1	2	2	0
2	26	8	6629	1	4	4	0
3	27	1	1448	1	2	2	0
3	27	2	4015	1	3	3	0
3	27	3	4580	1	1	1	0
3	27	4	5080	1	4	4	0
3	27	5	5731	1	3	3	0
3	27	6	6316	1	1	1	0
3	27	7	6849	1	2	2	0
3	27	8	7280	1	4	4	0
2	28	1	1284	0	4	3	2
2	28	2	3899	0	1	2	2
2	28	3	5115	1	3	3	2
2	28	4	6565	1	2	2	2
2	28	5	7080	0	4	3	2
2	28	6	7115	0	3	4	2
2	28	7	7981	1	1	1	2
2	28	8	8780	1	2	2	2
3	29	1	1232	1	2	2	0
3	29	2	3849	1	3	3	0
3	29	3	4281	1	1	1	0
3	29	4	4982	1	4	4	0
3	29	5	5847	1	3	3	0
3	29	6	6549	1	1	1	0
3	29	7	7114	1	2	2	0
3	29	8	8198	1	4	4	0
3	30	1	1080	1	2	2	0
3	30	2	3715	1	3	3	0
3	30	3	4181	1	1	1	0
3	30	4	4682	1	4	4	0
3	30	5	5181	1	3	3	0
3	30	6	5697	1	1	1	0
3	30	7	6281	1	2	2	0
3	30	8	6713	1	4	4	0
1	31	1	1431	1	3	3	1
1	31	2	3863	1	4	4	1
1	31	3	4430	0	2	1	1
1	31	4	5031	1	1	1	1
1	31	5	6514	1	3	3	1
1	31	6	6881	1	2	2	1
1	31	7	7330	1	4	4	1
1	31	8	7712	1	1	1	1
2	32	1	1598	1	3	3	1
2	32	2	4199	1	4	4	1
2	32	3	4932	1	2	2	1
2	32	4	5381	1	1	1	1
2	32	5	6265	1	3	3	1
2	32	6	6615	1	2	2	1
2	32	7	7064	1	4	4	1
2	32	8	7414	1	1	1	1
2	33	1	566	0	1	4	2
2	33	2	2865	0	2	1	2
2	33	3	4298	1	4	4	2
2	33	4	4797	1	1	1	2
2	33	5	5499	1	3	3	2
2	33	6	5899	0	4	2	2
2	33	7	6931	1	2	2	2
2	33	8	7448	0	3	4	2
3	34	1	414	0	2	4	0
3	34	2	2732	0	3	4	0
3	34	3	4696	1	1	1	0
3	34	4	5264	0	4	3	0
3	34	5	5746	0	3	2	0
3	34	6	6379	1	1	1	0
3	34	7	7646	1	2	2	0
3	34	8	8147	1	4	4	0
3	35	1	1030	1	4	4	2
3	35	2	3498	1	1	1	2
3	35	3	4113	1	3	3	2
3	35	4	4565	1	2	2	2
3	35	5	5263	0	4	3	2
3	35	6	6095	1	3	3	2
3	35	7	6914	1	1	1	2
3	35	8	7814	1	2	2	2
3	36	1	1347	0	2	4	0
3	36	2	5296	1	3	3	0
3	36	3	5863	1	1	1	0
3	36	4	6512	1	4	4	0
3	36	5	7162	0	3	2	0
3	36	6	8679	1	1	1	0
3	36	7	9178	1	2	2	0
3	36	8	9746	1	4	4	0
3	37	1	979	1	2	2	0
3	37	2	3463	1	3	3	0
3	37	3	3880	1	1	1	0
3	37	4	4479	1	4	4	0
3	37	5	5281	1	3	3	0
3	37	6	5697	1	1	1	0
3	37	7	6446	1	2	2	0
3	37	8	7212	1	4	4	0
3	38	1	850	1	2	2	0
3	38	2	3299	1	3	3	0
3	38	3	3831	1	1	1	0
3	38	4	4366	1	4	4	0
3	38	5	5816	1	3	3	0
3	38	6	6449	1	1	1	0
3	38	7	7048	1	2	2	0
3	38	8	8098	1	4	4	0
3	39	1	2214	1	2	2	2
3	39	2	5298	1	3	3	2
3	39	3	5814	1	1	1	2
3	39	4	6281	1	4	4	2
3	39	5	7114	1	3	3	2
3	39	6	7647	1	1	1	2
3	39	7	8164	1	2	2	2
3	39	8	8845	1	4	4	2
3	40	1	1550	1	2	2	0
3	40	2	5499	1	3	3	0
3	40	3	5999	1	1	1	0
3	40	4	6581	1	4	4	0
3	40	5	7564	1	3	3	0
3	40	6	8314	1	1	1	0
3	40	7	8764	1	2	2	0
3	40	8	9280	1	4	4	0
3	41	1	799	1	1	1	2
3	41	2	3349	1	3	3	2
3	41	3	3949	1	4	4	2
3	41	4	4714	1	2	2	2
3	41	5	5266	1	4	4	2
3	41	6	5732	1	1	1	2
3	41	7	6614	1	3	3	2
3	41	8	7015	1	2	2	2
3	42	1	1231	1	4	4	2
3	42	2	3715	0	3	2	2
3	42	3	4581	1	1	1	2
3	42	4	5614	1	4	4	2
3	42	5	6147	1	3	3	2
3	42	6	6931	1	1	1	2
3	42	7	7697	1	4	4	2
3	42	8	8512	1	2	2	2
4	43	1	948	1	2	2	0
4	43	2	4132	1	3	3	0
4	43	3	4898	1	1	1	0
4	43	4	5431	1	4	4	0
4	43	5	5898	1	3	3	0
4	43	6	6347	1	1	1	0
4	43	7	6965	1	2	2	0
4	43	8	7563	1	4	4	0
4	44	1	134	0	2	4	0
4	44	2	3666	1	3	3	0
4	44	3	4065	1	1	1	0
4	44	4	4966	1	4	4	0
4	44	5	5999	1	3	3	0
4	44	6	6483	1	1	1	0
4	44	7	7165	1	2	2	0
4	44	8	7663	1	4	4	0
4	45	1	1048	1	2	2	0
4	45	2	3549	1	3	3	0
