	BlockNumber	SequenceNumber	EventNumber	Time	isHit	target	pressed	sequence
742	10	153	4	1208	1	2	2	0
743	10	153	5	1567	1	4	4	0
744	10	154	1	216	1	4	4	0
745	10	154	2	476	1	1	1	0
746	10	154	3	905	1	3	3	0
747	10	154	4	1183	1	2	2	0
748	10	154	5	1461	1	4	4	0
749	10	155	1	304	1	4	4	0
750	10	155	2	642	1	1	1	0
751	10	155	3	1094	1	3	3	0
752	10	155	4	1339	1	2	2	0
753	10	155	5	1731	1	4	4	0
754	10	156	1	233	1	4	4	0
755	10	156	2	501	1	1	1	0
756	10	156	3	930	1	3	3	0
757	10	156	4	1239	1	2	2	0
758	10	156	5	1553	1	4	4	0
759	10	157	1	236	1	4	4	0
760	10	157	2	614	1	1	1	0
761	10	157	3	933	1	3	3	0
762	10	157	4	1219	1	2	2	0
763	10	157	5	1546	1	4	4	0
764	10	158	1	282	1	4	4	0
765	10	158	2	562	1	1	1	0
766	10	158	3	1080	1	3	3	0
767	10	158	4	1428	1	2	2	0
768	10	158	5	1832	1	4	4	0
769	10	159	1	243	1	4	4	0
770	10	159	2	567	1	1	1	0
771	10	159	3	1003	1	3	3	0
772	10	159	4	1278	1	2	2	0
773	10	159	5	1668	1	4	4	0
774	10	160	1	166	1	4	4	0
775	10	160	2	414	1	1	1	0
776	10	160	3	859	1	3	3	0
777	10	160	4	1198	1	2	2	0
778	10	160	5	1662	1	4	4	0
779	10	161	1	212	1	4	4	0
780	10	161	2	552	1	1	1	0
781	10	161	3	1026	1	3	3	0
782	10	161	4	1406	1	2	2	0
783	10	161	5	1767	1	4	4	0
784	10	162	1	236	1	4	4	0
785	10	162	2	533	1	1	1	0
786	10	162	3	884	1	3	3	0
787	10	162	4	1275	1	2	2	0
788	10	162	5	1599	1	4	4	0
789	10	163	1	201	1	4	4	0
790	10	163	2	534	1	1	1	0
791	10	163	3	818	1	3	3	0
792	10	163	4	1143	1	2	2	0
793	11	164	1	815	1	4	4	0
794	11	164	2	1272	1	1	1	0
795	11	164	3	1592	1	3	3	0
796	11	164	4	1877	1	2	2	0
797	11	164	5	2174	1	4	4	0
798	11	165	1	218	1	4	4	0
799	11	165	2	497	1	1	1	0
800	11	165	3	925	1	3	3	0
801	11	165	4	1197	1	2	2	0
802	11	165	5	1463	1	4	4	0
803	11	166	1	307	1	4	4	0
804	11	166	2	519	1	1	1	0
805	11	166	3	837	1	3	3	0
806	11	166	4	1155	1	2	2	0
807	11	166	5	1465	1	4	4	0
808	11	167	1	275	1	4	4	0
809	11	167	2	581	1	1	1	0
810	11	167	3	942	1	3	3	0
811	11	167	4	1213	1	2	2	0
812	11	167	5	1501	1	4	4	0
813	11	168	1	253	1	4	4	0
814	11	168	2	503	1	1	1	0
815	11	168	3	996	1	3	3	0
816	11	168	4	1204	1	2	2	0
817	11	168	5	1486	1	4	4	0
818	11	169	1	264	1	4	4	0
819	11	169	2	550	1	1	1	0
820	11	169	3	957	1	3	3	0
821	11	169	4	1188	1	2	2	0
822	11	169	5	1478	1	4	4	0
823	11	170	1	289	1	4	4	0
824	11	170	2	486	1	1	1	0
825	11	170	3	961	1	3	3	0
826	11	170	4	1384	1	2	2	0
827	11	170	5	1732	1	4	4	0
828	11	171	1	234	1	4	4	0
829	11	171	2	550	1	1	1	0
830	11	171	3	919	1	3	3	0
831	11	171	4	1262	1	2	2	0
832	11	171	5	1599	1	4	4	0
833	11	172	1	239	1	4	4	0
834	11	172	2	533	1	1	1	0
835	11	172	3	974	1	3	3	0
836	11	172	4	1264	1	2	2	0
837	11	172	5	1635	1	4	4	0
838	11	173	1	717	1	4	4	0
839	11	173	2	1307	1	1	1	0
840	11	173	3	1682	1	3	3	0
841	11	173	4	1964	1	2	2	0
842	11	173	5	2192	1	4	4	0
843	11	174	1	310	1	4	4	0
844	11	174	2	594	1	1	1	0
845	11	174	3	999	1	3	3	0
846	11	174	4	1235	1	2	2	0
847	11	174	5	1661	1	4	4	0
848	11	175	1	264	1	4	4	0
849	11	175	2	652	1	1	1	0
850	11	175	3	1104	1	3	3	0
851	11	175	4	1397	1	2	2	0
852	11	175	5	1813	1	4	4	0
853	11	176	1	263	1	4	4	0
854	11	176	2	575	1	1	1	0
855	11	176	3	1048	1	3	3	0
856	11	176	4	1326	1	2	2	0
857	11	176	5	1765	1	4	4	0
858	11	177	1	198	1	4	4	0
859	11	177	2	500	1	1	1	0
860	11	177	3	1080	1	3	3	0
861	11	177	4	1336	1	2	2	0
862	11	177	5	1696	1	4	4	0
863	11	178	1	242	1	4	4	0
864	11	178	2	545	1	1	1	0
865	11	178	3	1159	1	3	3	0
866	11	178	4	1509	1	2	2	0
867	11	178	5	1961	1	4	4	0
868	11	179	1	166	1	4	4	0
869	11	179	2	447	1	1	1	0
870	11	179	3	912	1	3	3	0
871	11	179	4	1222	1	2	2	0
872	11	179	5	1581	1	4	4	0
873	11	180	1	230	1	4	4	0
874	11	180	2	572	1	1	1	0
875	11	180	3	1201	1	3	3	0
876	11	180	4	1382	1	2	2	0
877	11	180	5	1769	1	4	4	0
878	11	181	1	300	1	4	4	0
879	11	181	2	583	1	1	1	0
880	11	181	3	1020	1	3	3	0
881	12	182	1	737	1	4	4	0
882	12	182	2	1083	1	1	1	0
883	12	182	3	1452	1	3	3	0
884	12	182	4	1706	1	2	2	0
885	12	182	5	1960	1	4	4	0
886	12	183	1	244	1	4	4	0
887	12	183	2	741	1	1	1	0
888	12	183	3	1138	1	3	3	0
889	12	183	4	1420	1	2	2	0
890	12	183	5	1705	1	4	4	0
891	12	184	1	244	1	4	4	0
892	12	184	2	495	1	1	1	0
893	12	184	3	936	1	3	3	0
894	12	184	4	1195	1	2	2	0
895	12	184	5	1483	1	4	4	0
896	12	185	1	211	1	4	4	0
897	12	185	2	530	1	1	1	0
898	12	185	3	932	1	3	3	0
899	12	185	4	1210	1	2	2	0
900	12	185	5	1526	1	4	4	0
901	12	186	1	235	1	4	4	0
902	12	186	2	470	1	1	1	0
903	12	186	3	857	1	3	3	0
904	12	186	4	1304	1	2	2	0
905	12	186	5	1659	1	4	4	0
906	12	187	1	321	1	4	4	0
907	12	187	2	490	1	1	1	0
908	12	187	3	936	1	3	3	0
909	12	187	4	1168	1	2	2	0
910	12	187	5	1533	1	4	4	0
911	12	188	1	211	1	4	4	0
912	12	188	2	485	1	1	1	0
913	12	188	3	831	1	3	3	0
914	12	188	4	1157	1	2	2	0
915	12	188	5	1445	1	4	4	0
916	12	189	1	128	1	4	4	0
917	12	189	2	377	1	1	1	0
918	12	189	3	729	1	3	3	0
919	12	189	4	1277	1	2	2	0
920	12	189	5	1960	1	4	4	0
921	12	190	1	284	1	4	4	0
922	12	190	2	569	1	1	1	0
923	12	190	3	951	1	3	3	0
924	12	190	4	1252	1	2	2	0
925	12	190	5	1518	1	4	4	0
926	12	191	1	300	1	4	4	0
927	12	191	2	599	1	1	1	0
928	12	191	3	952	1	3	3	0
929	12	191	4	1265	1	2	2	0
930	12	191	5	1632	1	4	4	0
931	12	192	1	251	1	4	4	0
932	12	192	2	459	1	1	1	0
933	12	192	3	880	1	3	3	0
934	12	192	4	1377	1	2	2	0
935	12	192	5	1725	1	4	4	0
936	12	193	1	315	1	4	4	0
937	12	193	2	607	1	1	1	0
938	12	193	3	1113	1	3	3	0
939	12	193	4	1403	1	2	2	0
940	12	193	5	1711	1	4	4	0
941	12	194	1	261	1	4	4	0
942	12	194	2	490	1	1	1	0
943	12	194	3	845	1	3	3	0
944	12	194	4	1137	1	2	2	0
945	12	194	5	1418	1	4	4	0
946	12	195	1	214	1	4	4	0
947	12	195	2	504	1	1	1	0
948	12	195	3	1123	1	3	3	0
949	12	195	4	1510	1	2	2	0
950	12	195	5	1803	1	4	4	0
951	12	196	1	240	1	4	4	0
952	12	196	2	577	1	1	1	0
953	12	196	3	1489	1	3	3	0
954	12	196	4	1718	1	2	2	0
955	12	196	5	2075	1	4	4	0
956	12	197	1	210	1	4	4	0
957	12	197	2	462	1	1	1	0
958	12	197	3	753	1	3	3	0
959	12	197	4	1116	1	2	2	0
960	12	197	5	1448	1	4	4	0
961	12	198	1	279	1	4	4	0
962	12	198	2	532	1	1	1	0
963	12	198	3	954	1	3	3	0
964	12	198	4	1312	1	2	2	0
965	12	198	5	1569	1	4	4	0
966	12	199	1	230	1	4	4	0
967	12	199	2	477	1	1	1	0
968	12	199	3	854	1	3	3	0
969	12	199	4	1159	1	2	2	0
970	12	199	5	1498	1	4	4	0
971	12	200	1	173	1	4	4	0
