type	block	sequ.	trial	time	Pos.	Color	Button	NumRsp	Resp_1	RT_1	R_Code	Resp_2	RT_2	Trigg.	n_hit	n_inc	n_miss	score_%

random	1	1	1	2124	6	1	1	1	0	858	1	4	0	8	1	0	0	100
random	1	1	2	3506	4	4	4	1	0	616	1	4	0	32	2	0	0	100
random	1	1	3	4541	2	2	2	1	0	948	1	4	0	16	3	0	0	100
random	1	1	4	5883	3	3	3	1	0	427	1	4	0	24	4	0	0	100
random	1	1	5	6992	5	2	2	1	0	844	1	4	0	16	5	0	0	100
random	1	1	6	8797	1	4	4	1	0	592	1	4	0	32	6	0	0	100
random	1	1	7	10294	6	1	1	1	0	656	1	4	0	8	7	0	0	100
random	1	1	8	11966	2	3	3	1	0	906	1	4	0	24	8	0	0	100
random	1	1	9	13896	4	2	2	1	0	440	1	4	0	16	9	0	0	100
random	1	1	10	14967	1	1	1	1	0	499	1	4	0	8	10	0	0	100
random	1	1	11	16066	5	4	4	1	0	460	1	4	0	32	11	0	0	100
random	1	1	12	17198	3	3	3	1	0	868	1	4	0	24	12	0	0	100
random	1	1	13	19033	5	2	2	1	0	854	1	4	0	16	13	0	0	100
random	1	1	14	20380	1	4	4	1	0	710	1	4	0	32	14	0	0	100
random	1	1	15	21876	3	1	1	1	0	830	1	4	0	8	15	0	0	100
random	1	1	16	23389	4	3	3	1	0	902	1	4	0	24	16	0	0	100
random	1	1	17	25311	6	4	4	1	0	613	1	4	0	32	17	0	0	100
random	1	1	18	26814	2	1	1	1	0	517	1	4	0	8	18	0	0	100
random	1	1	19	28283	5	3	3	1	0	1055	1	4	0	24	19	0	0	100
random	1	1	20	29834	2	2	2	1	0	501	1	4	0	16	20	0	0	100
random	1	1	21	30904	3	3	3	1	0	808	1	4	0	24	21	0	0	100
random	1	1	22	32470	6	1	1	1	0	613	1	4	0	8	22	0	0	100
random	1	1	23	34053	4	2	2	1	0	1002	1	4	0	16	23	0	0	100
random	1	1	24	35809	1	4	4	1	0	728	1	4	0	32	24	0	0	100
random	1	1	25	37379	4	3	3	1	0	1069	1	4	0	24	25	0	0	100
random	1	1	26	38781	2	1	1	1	0	834	1	4	0	8	26	0	0	100
random	1	1	27	39993	5	2	2	1	0	1055	1	4	0	16	27	0	0	100
random	1	1	28	41629	6	4	4	1	0	657	1	4	0	32	28	0	0	100
random	1	1	29	42601	1	3	3	1	0	904	1	4	0	24	29	0	0	100
random	1	1	30	44508	5	2	2	1	0	888	1	4	0	16	30	0	0	100
random	1	1	31	45767	2	1	1	1	0	698	1	4	0	8	31	0	0	100
random	1	1	32	46859	3	3	3	1	0	1076	1	4	0	24	32	0	0	100
random	1	1	33	48943	6	4	4	1	0	700	1	4	0	32	33	0	0	100
random	1	1	34	50187	4	2	2	1	0	1103	1	4	0	16	34	0	0	100
