type	block	sequ.	trial	time	Pos.	Color	Button	NumRsp	Resp_1	RT_1	R_Code	Resp_2	RT_2	Trigg.	n_hit	n_inc	n_miss	score_%

random	1	1	1	6255	6	1	1	1	0	903	1	4	0	8	1	0	0	100
random	1	1	2	7928	4	4	4	1	0	840	1	4	0	32	2	0	0	100
random	1	1	3	9409	2	2	2	1	0	994	1	4	0	16	3	0	0	100
random	1	1	4	11433	3	3	3	1	0	476	1	4	0	24	4	0	0	100
random	1	1	5	12621	5	2	2	1	0	1065	1	4	0	16	5	0	0	100
random	1	1	6	14313	1	4	4	1	0	866	1	4	0	32	6	0	0	100
random	1	1	7	15780	6	1	1	1	0	1003	1	4	0	8	7	0	0	100
random	1	1	8	17454	2	3	3	1	0	893	1	4	0	24	8	0	0	100
random	1	1	9	18719	4	2	2	1	0	943	1	4	0	16	9	0	0	100
random	1	1	10	20145	1	1	1	1	0	1075	1	4	0	8	10	0	0	100
random	1	1	11	22101	5	4	4	1	0	560	1	4	0	32	11	0	0	100
random	1	1	12	23222	3	3	3	1	0	1136	1	4	0	24	12	0	0	100
random	1	1	13	25521	5	2	2	1	0	615	1	4	0	16	13	0	0	100
random	1	1	14	27155	1	4	4	1	0	898	1	4	0	32	14	0	0	100
random	1	1	15	28691	3	1	1	1	0	849	1	4	0	8	15	0	0	100
random	1	1	16	30205	4	3	0	1	2	0	3	4	0	24	15	0	1	94
random	1	1	17	33739	6	4	4	1	0	827	1	4	0	32	16	0	1	94
random	1	1	18	35078	2	1	1	1	0	866	1	4	0	8	17	0	1	94
random	1	1	19	36837	5	3	3	1	0	912	1	4	0	24	18	0	1	95
random	1	1	20	38589	2	2	2	1	0	645	1	4	0	16	19	0	1	95
random	1	1	21	39873	3	3	3	1	0	1127	1	4	0	24	20	0	1	95
random	1	1	22	41831	6	1	1	1	0	884	1	4	0	8	21	0	1	95
random	1	1	23	43523	4	2	2	1	0	901	1	4	0	16	22	0	1	96
random	1	1	24	45102	1	4	4	1	0	737	1	4	0	32	23	0	1	96
random	1	1	25	47074	4	3	3	1	0	1094	1	4	0	24	24	0	1	96
random	1	1	26	48626	2	1	1	1	0	852	1	4	0	8	25	0	1	96
random	1	1	27	49998	5	2	2	1	0	882	1	4	0	16	26	0	1	96
random	1	1	28	51236	6	4	4	1	0	830	1	4	0	32	27	0	1	96
random	1	1	29	52429	1	3	3	1	0	1163	1	4	0	24	28	0	1	97
random	1	1	30	54412	5	2	2	1	0	935	1	4	0	16	29	0	1	97
random	1	1	31	55860	2	1	1	1	0	754	1	4	0	8	30	0	1	97
random	1	1	32	57311	3	3	3	1	0	997	1	4	0	24	31	0	1	97
random	1	1	33	58904	6	4	4	1	0	681	1	4	0	32	32	0	1	97
random	1	1	34	60575	4	2	2	1	0	786	1	4	0	16	33	0	1	97
random	1	1	35	61855	3	4	4	1	0	1028	1	4	0	32	34	0	1	97
random	1	1	36	63604	1	1	1	1	0	834	1	4	0	8	35	0	1	97
random	1	1	37	65704	3	4	4	1	0	1081	1	4	0	32	36	0	1	97
random	1	1	38	67413	5	3	3	1	0	1033	1	4	0	24	37	0	1	97
random	1	1	39	68867	6	1	1	1	0	867	1	4	0	8	38	0	1	97
random	1	1	40	70484	1	2	2	1	0	774	1	4	0	16	39	0	1	98
random	1	1	41	71697	2	3	3	1	0	1140	1	4	0	24	40	0	1	98
random	1	1	42	73270	4	4	4	1	0	816	1	4	0	32	41	0	1	98
random	1	1	43	74836	1	2	2	1	0	1110	1	4	0	16	42	0	1	98
random	1	1	44	76502	6	3	3	1	0	816	1	4	0	24	43	0	1	98
random	1	1	45	78253	3	1	1	1	0	605	1	4	0	8	44	0	1	98
random	1	1	46	79335	4	4	4	1	0	831	1	4	0	32	45	0	1	98
random	1	1	47	81162	2	2	2	1	0	786	1	4	0	16	46	0	1	98
random	1	1	48	82275	5	1	1	1	0	963	1	4	0	8	47	0	1	98
random	1	1	49	84400	2	3	3	1	0	969	1	4	0	24	48	0	1	98
random	1	1	50	86108	3	1	1	1	0	849	1	4	0	8	49	0	1	98
random	1	1	51	87250	1	4	4	1	0	873	1	4	0	32	50	0	1	98
random	1	1	52	88778	5	3	3	1	0	936	1	4	0	24	51	0	1	98
random	1	1	53	90147	3	2	2	1	0	854	1	4	0	16	52	0	1	98
random	1	1	54	91489	6	4	4	1	0	789	1	4	0	32	53	0	1	98
random	1	1	55	92803	4	2	0	1	2	0	3	4	0	16	53	0	2	96
