type	block	sequ.	trial	time	Pos.	Color	Button	NumRsp	Resp_1	RT_1	R_Code	Resp_2	RT_2	Trigg.	n_hit	n_inc	n_miss	score_%

random	1	1	1	1444	6	1	1	1	0	1057	1	4	0	8	1	0	0	100
random	1	1	2	3498	4	4	4	1	0	963	1	4	0	32	2	0	0	100
random	1	1	3	5079	2	2	2	1	0	1072	1	4	0	16	3	0	0	100
random	1	1	4	7069	3	3	3	1	0	571	1	4	0	24	4	0	0	100
random	1	1	5	8053	5	2	2	1	0	1802	1	4	0	16	5	0	0	100
random	1	1	6	10431	1	4	4	1	0	717	1	4	0	32	6	0	0	100
random	1	1	7	11718	6	1	1	1	0	575	1	4	0	8	7	0	0	100
random	1	1	8	12888	2	3	3	1	0	1437	1	4	0	24	8	0	0	100
random	1	1	9	15250	4	2	2	1	0	809	1	4	0	16	9	0	0	100
random	1	1	10	17016	1	1	1	1	0	982	1	4	0	8	10	0	0	100
random	1	1	11	18354	5	4	4	1	0	989	1	4	0	32	11	0	0	100
random	1	1	12	20214	3	3	3	1	0	1310	1	4	0	24	12	0	0	100
random	1	1	13	22080	5	2	2	1	0	1375	1	4	0	16	13	0	0	100
random	1	1	14	24341	1	4	4	1	0	880	1	4	0	32	14	0	0	100
random	1	1	15	25586	3	1	1	1	0	779	1	4	0	8	15	0	0	100
random	1	1	16	27304	4	3	3	1	0	1250	1	4	0	24	16	0	0	100
random	1	1	17	28927	6	4	4	1	0	862	1	4	0	32	17	0	0	100
random	1	1	18	30152	2	1	1	1	0	753	1	4	0	8	18	0	0	100
random	1	1	19	31783	5	3	3	1	0	1733	1	4	0	24	19	0	0	100
random	1	1	20	34247	2	2	2	1	0	548	1	4	0	16	20	0	0	100
random	1	1	21	35374	3	3	3	1	0	1189	1	4	0	24	21	0	0	100
random	1	1	22	36976	6	1	1	1	0	921	1	4	0	8	22	0	0	100
random	1	1	23	38244	4	2	2	1	0	1195	1	4	0	16	23	0	0	100
random	1	1	24	40248	1	4	4	1	0	678	1	4	0	32	24	0	0	100
random	1	1	25	41695	4	3	3	1	0	1064	1	4	0	24	25	0	0	100
random	1	1	26	43644	2	1	1	1	0	974	1	4	0	8	26	0	0	100
