type	block	sequ.	trial	time	Pos.	Color	Button	NumRsp	Resp_1	RT_1	R_Code	Resp_2	RT_2	Trigg.	n_hit	n_inc	n_miss	score_%

random	1	1	1	101907	6	1	1	1	0	2075	1	4	0	8	1	0	0	100
random	1	1	2	104416	4	4	4	1	0	1097	1	4	0	32	2	0	0	100
random	1	1	3	106250	2	2	2	1	0	1892	1	4	0	16	3	0	0	100
random	1	1	4	108746	3	3	3	1	0	1386	1	4	0	24	4	0	0	100
random	1	1	5	110762	5	2	2	1	0	1524	1	4	0	16	5	0	0	100
random	1	1	6	112603	1	4	4	1	0	926	1	4	0	32	6	0	0	100
random	1	1	7	114094	6	1	1	1	0	991	1	4	0	8	7	0	0	100
random	1	1	8	115781	2	3	3	1	0	1496	1	4	0	24	8	0	0	100
random	1	1	9	117956	4	2	0	0	2	0	3	4	0	16	8	0	1	89
random	1	1	10	121351	1	1	1	1	0	1636	1	4	0	8	9	0	1	90
random	1	1	11	123568	5	4	4	1	0	894	1	4	0	32	10	0	1	91
random	1	1	12	125356	3	3	3	1	0	1298	1	4	0	24	11	0	1	92
random	1	1	13	127287	5	2	2	1	0	1472	1	4	0	16	12	0	1	92
random	1	1	14	129800	1	4	4	1	0	966	1	4	0	32	13	0	1	93
random	1	1	15	131264	3	1	1	1	0	1248	1	4	0	8	14	0	1	93
random	1	1	16	133456	4	3	3	1	0	1547	1	4	0	24	15	0	1	94
random	1	1	17	135309	6	4	4	1	0	1044	1	4	0	32	16	0	1	94
random	1	1	18	136753	2	1	1	1	0	1248	1	4	0	8	17	0	1	94
random	1	1	19	138539	5	3	0	1	2	0	3	4	0	24	17	0	2	89
random	1	1	20	141948	2	2	2	1	0	1811	1	4	0	16	18	0	2	90
random	1	1	21	144710	3	3	3	1	0	1047	1	4	0	24	19	0	2	90
random	1	1	22	146341	6	1	1	1	0	985	1	4	0	8	20	0	2	91
random	1	1	23	148348	4	2	2	1	0	1084	1	4	0	16	21	0	2	91
random	1	1	24	150374	1	4	4	1	0	975	1	4	0	32	22	0	2	92
random	1	1	25	152483	4	3	0	1	2	0	3	4	0	24	22	0	3	88
random	1	1	26	155338	2	1	1	1	0	1308	1	4	0	8	23	0	3	88
random	1	1	27	157436	5	2	2	1	0	939	1	4	0	16	24	0	3	89
random	1	1	28	158796	6	4	4	1	0	898	1	4	0	32	25	0	3	89
random	1	1	29	160509	1	3	3	1	0	2449	1	4	0	24	26	0	3	90
random	1	1	30	163495	5	2	2	1	0	1051	1	4	0	16	27	0	3	90
random	1	1	31	165173	2	1	1	1	0	1108	1	4	0	8	28	0	3	90
random	1	1	32	166872	3	3	0	1	2	0	3	4	0	24	28	0	4	88
random	1	1	33	170234	6	4	4	1	0	1245	1	4	0	32	29	0	4	88
random	1	1	34	171978	4	2	2	1	0	1340	1	4	0	16	30	0	4	88
random	1	1	35	173898	3	4	4	1	0	690	1	4	0	32	31	0	4	89
random	1	1	36	175208	1	1	1	1	0	947	1	4	0	8	32	0	4	89
random	1	1	37	177428	3	4	4	1	0	636	1	4	0	32	33	0	4	89
random	1	1	38	178987	5	3	3	1	0	1571	1	4	0	24	34	0	4	89
random	1	1	39	181582	6	1	1	1	0	1077	1	4	0	8	35	0	4	90
random	1	1	40	183256	1	2	2	1	0	1094	1	4	0	16	36	0	4	90
random	1	1	41	184733	2	3	3	1	0	1151	1	4	0	24	37	0	4	90
random	1	1	42	186351	4	4	4	1	0	778	1	4	0	32	38	0	4	90
random	1	1	43	187680	1	2	2	1	0	1187	1	4	0	16	39	0	4	91
random	1	1	44	189434	6	3	3	1	0	1000	1	4	0	24	40	0	4	91
random	1	1	45	190785	3	1	1	1	0	815	1	4	0	8	41	0	4	91
random	1	1	46	192332	4	4	4	1	0	701	1	4	0	32	42	0	4	91
random	1	1	47	193523	2	2	2	1	0	1171	1	4	0	16	43	0	4	91
random	1	1	48	195596	5	1	1	1	0	1187	1	4	0	8	44	0	4	92
random	1	1	49	197377	2	3	3	1	0	1415	1	4	0	24	45	0	4	92
random	1	1	50	199771	3	1	0	2	2	0	3	4	0	8	45	0	5	90
random	1	1	51	202882	1	4	4	1	0	647	1	4	0	32	46	0	5	90
random	1	1	52	204179	5	3	3	1	0	1711	1	4	0	24	47	0	5	90
random	1	1	53	206840	3	2	2	2	0	1191	2	4	0	16	48	0	5	91
random	1	1	54	208803	6	4	4	1	0	955	1	4	0	32	49	0	5	91
random	1	1	55	210285	4	2	2	1	0	1517	1	4	0	16	50	0	5	91
random	1	1	56	212445	1	1	1	1	0	1177	1	4	0	8	51	0	5	91
random	1	1	57	214536	5	4	4	1	0	857	1	4	0	32	52	0	5	91
random	1	1	58	215782	2	1	1	1	0	1132	1	4	0	8	53	0	5	91
random	1	1	59	217815	6	2	2	1	0	1294	1	4	0	16	54	0	5	92
random	1	1	60	220097	4	3	3	1	0	1301	1	4	0	24	55	0	5	92
random	1	1	61	222623	1	2	2	1	0	1018	1	4	0	16	56	0	5	92
random	1	1	62	224375	6	4	4	1	0	800	1	4	0	32	57	0	5	92
random	1	1	63	225916	4	1	1	1	0	887	1	4	0	8	58	0	5	92
random	1	1	64	227143	2	2	2	1	0	1011	1	4	0	16	59	0	5	92
random	1	1	65	229039	4	3	3	1	0	1522	1	4	0	24	60	0	5	92
random	1	1	66	231151	3	1	1	1	0	1081	1	4	0	8	61	0	5	92
random	1	1	67	232949	1	3	3	1	0	965	1	4	0	24	62	0	5	93
random	1	1	68	234271	5	4	4	1	0	877	1	4	0	32	63	0	5	93
random	1	1	69	235572	2	2	2	1	0	894	1	4	0	16	64	0	5	93
random	1	1	70	237124	3	1	1	1	0	876	1	4	0	8	65	0	5	93
random	1	1	71	238485	5	4	4	1	0	771	1	4	0	32	66	0	5	93
random	1	1	72	240156	6	3	0	1	2	0	3	4	0	24	66	0	6	92
random	1	1	73	243607	2	1	1	1	0	1033	1	4	0	8	67	0	6	92
random	1	1	74	245094	5	3	3	1	0	1162	1	4	0	24	68	0	6	92
random	1	1	75	246706	1	4	4	1	0	814	1	4	0	32	69	0	6	92
random	1	1	76	248296	6	2	2	1	0	835	1	4	0	16	70	0	6	92
random	1	1	77	249980	2	1	1	1	0	1092	1	4	0	8	71	0	6	92
random	1	1	78	252031	4	4	4	1	0	781	1	4	0	32	72	0	6	92
random	1	1	79	253722	3	2	2	1	0	1189	1	4	0	16	73	0	6	92
random	1	1	80	255812	4	3	3	1	0	1029	1	4	0	24	74	0	6	93
random	1	1	81	257407	1	4	4	1	0	881	1	4	0	32	75	0	6	93
random	1	1	82	259267	5	1	1	1	0	778	1	4	0	8	76	0	6	93
random	1	1	83	260770	3	2	2	1	0	995	1	4	0	16	77	0	6	93
random	1	1	84	262447	6	3	3	1	0	1220	1	4	0	24	78	0	6	93
random	1	1	85	264659	3	2	2	1	0	1662	1	4	0	16	79	0	6	93
random	1	1	86	267000	1	3	3	1	0	811	1	4	0	24	80	0	6	93
random	1	1	87	268282	4	4	4	1	0	868	1	4	0	32	81	0	6	93
random	1	1	88	269484	2	1	1	1	0	850	1	4	0	8	82	0	6	93
random	1	1	89	270727	6	4	0	1	2	0	3	4	0	32	82	0	7	92
random	1	1	90	273522	3	3	3	1	0	1095	1	4	0	24	83	0	7	92
random	1	1	91	275071	5	4	4	1	0	1029	1	4	0	32	84	0	7	92
random	1	1	92	276614	1	2	2	1	0	1300	1	4	0	16	85	0	7	92
random	1	1	93	278605	5	1	1	1	0	1096	1	4	0	8	86	0	7	92
random	1	1	94	280700	4	3	0	1	2	0	3	4	0	24	86	0	8	91
random	1	1	95	283874	6	1	0	1	2	0	3	4	0	8	86	0	9	91
random	1	1	96	287194	2	2	2	1	0	1124	1	4	0	16	87	0	9	91
random	1	1	97	289035	4	3	3	1	0	1941	1	4	0	24	88	0	9	91
random	1	1	98	291383	3	2	2	1	0	1130	1	4	0	16	89	0	9	91
random	1	1	99	292863	6	3	0	0	2	0	3	4	0	24	89	0	10	90
random	1	1	100	295999	1	4	4	1	0	2479	1	4	0	32	90	0	10	90
random	1	1	101	299242	4	1	1	1	0	581	1	4	0	8	91	0	10	90
random	1	1	102	300461	5	2	0	0	2	0	3	4	0	16	91	0	11	89
random	1	1	103	303986	2	4	4	1	0	829	1	4	0	32	92	0	11	89
random	1	1	104	305129	3	1	1	1	0	1140	1	4	0	8	93	0	11	89
random	1	1	105	306902	1	3	0	0	2	0	3	4	0	24	93	0	12	89
random	1	1	106	310024	2	2	0	0	2	0	3	4	0	16	93	0	13	88
random	1	1	107	313398	5	4	4	1	0	733	1	4	0	32	94	0	13	88
random	1	1	108	314924	6	1	1	1	0	1109	1	4	0	8	95	0	13	88
random	1	1	109	316737	5	4	4	1	0	952	1	4	0	32	96	0	13	88
random	1	1	110	318158	6	3	0	1	2	0	3	4	0	24	96	0	14	87
random	1	1	111	321174	2	2	0	0	2	0	3	4	0	16	96	0	15	86
random	1	1	112	324568	3	1	1	1	0	1093	1	4	0	8	97	0	15	87
random	1	1	113	326441	1	2	0	1	2	0	3	4	0	16	97	0	16	86
random	1	1	114	329244	2	3	0	0	2	0	3	4	0	24	97	0	17	85
random	1	1	115	332670	3	1	1	1	0	1150	1	4	0	8	98	0	17	85
random	1	1	116	334759	4	4	4	1	0	1253	1	4	0	32	99	0	17	85
random	1	1	117	336997	6	1	1	1	0	1150	1	4	0	8	100	0	17	85
random	1	1	118	338945	5	3	0	1	2	0	3	4	0	24	100	0	18	85
random	1	1	119	341931	1	4	4	1	0	989	1	4	0	32	101	0	18	85
random	1	1	120	343959	4	2	2	1	0	1127	1	4	0	16	102	0	18	85
fixed	2	1	1	346006	4	1	1	1	0	1216	1	4	0	40	1	0	0	100
fixed	2	1	2	347644	1	2	0	1	2	0	3	4	0	48	1	0	1	50
fixed	2	1	3	350736	6	4	4	1	0	1064	1	4	0	64	2	0	1	67
fixed	2	1	4	352717	2	1	1	1	0	916	1	4	0	40	3	0	1	75
fixed	2	1	5	354401	5	3	3	1	0	1189	1	4	0	56	4	0	1	80
fixed	2	1	6	355934	6	4	4	1	0	1316	1	4	0	64	5	0	1	83
fixed	2	1	7	358038	3	1	0	1	2	0	3	4	0	40	5	0	2	71
fixed	2	1	8	360956	2	3	3	1	0	1431	1	4	0	56	6	0	2	75
fixed	2	1	9	363298	3	2	2	1	0	844	1	4	0	48	7	0	2	78
fixed	2	1	10	364437	1	4	4	1	0	812	1	4	0	64	8	0	2	80
fixed	2	1	11	365694	5	2	2	1	0	1254	1	4	0	48	9	0	2	82
fixed	2	1	12	367336	4	3	3	2	0	1673	2	4	0	56	10	0	2	83
fixed	2	2	1	370218	4	1	1	1	0	1439	1	4	0	40	11	0	2	85
fixed	2	2	2	372135	1	2	2	1	0	1414	1	4	0	48	12	0	2	86
fixed	2	2	3	374260	6	4	4	1	0	1131	1	4	0	64	13	0	2	87
fixed	2	2	4	376210	2	1	1	2	0	2345	2	4	0	40	14	0	2	88
fixed	2	2	5	379085	5	3	3	1	0	1848	1	4	0	56	15	0	2	88
fixed	2	2	6	381744	6	4	4	1	0	1790	1	4	0	64	16	0	2	89
fixed	2	2	7	384195	3	1	1	1	0	879	1	4	0	40	17	0	2	89
fixed	2	2	8	385571	2	3	3	1	0	1540	1	4	0	56	18	0	2	90
fixed	2	2	9	387576	3	2	2	1	0	1063	1	4	0	48	19	0	2	90
fixed	2	2	10	389503	1	4	4	1	0	1054	1	4	0	64	20	0	2	91
fixed	2	2	11	391414	5	2	2	1	0	1333	1	4	0	48	21	0	2	91
fixed	2	2	12	393087	4	3	0	1	2	0	3	4	0	56	21	0	3	88
fixed	2	3	1	396299	4	1	1	1	0	1590	1	4	0	40	22	0	3	88
fixed	2	3	2	398854	1	2	2	2	0	2018	2	4	0	48	23	0	3	88
fixed	2	3	3	401457	6	4	4	1	0	796	1	4	0	64	24	0	3	89
fixed	2	3	4	403164	2	1	1	2	0	891	2	4	0	40	25	0	3	89
fixed	2	3	5	404953	5	3	3	1	0	1455	1	4	0	56	26	0	3	90
fixed	2	3	6	407353	6	4	4	1	0	866	1	4	0	64	27	0	3	90
fixed	2	3	7	409062	3	1	1	2	0	889	2	4	0	40	28	0	3	90
fixed	2	3	8	410725	2	3	3	1	0	1211	1	4	0	56	29	0	3	91
fixed	2	3	9	412396	3	2	2	1	0	1037	1	4	0	48	30	0	3	91
fixed	2	3	10	414079	1	4	4	1	0	1357	1	4	0	64	31	0	3	91
fixed	2	3	11	416461	5	2	2	1	0	1481	1	4	0	48	32	0	3	91
fixed	2	3	12	418558	4	3	3	1	0	1095	1	4	0	56	33	0	3	92
fixed	2	4	1	420207	4	1	1	1	0	1169	1	4	0	40	34	0	3	92
fixed	2	4	2	421820	1	2	2	1	0	1141	1	4	0	48	35	0	3	92
fixed	2	4	3	423494	6	4	4	1	0	759	1	4	0	64	36	0	3	92
fixed	2	4	4	424762	2	1	1	2	0	1177	2	4	0	40	37	0	3	93
fixed	2	4	5	426544	5	3	3	1	0	957	1	4	0	56	38	0	3	93
fixed	2	4	6	427804	6	4	4	1	0	912	1	4	0	64	39	0	3	93
fixed	2	4	7	429125	3	1	1	1	0	760	1	4	0	40	40	0	3	93
fixed	2	4	8	430223	2	3	3	2	0	1945	2	4	0	56	41	0	3	93
fixed	2	4	9	432814	3	2	2	1	0	956	1	4	0	48	42	0	3	93
fixed	2	4	10	434140	1	4	4	1	0	731	1	4	0	64	43	0	3	93
fixed	2	4	11	435541	5	2	2	1	0	976	1	4	0	48	44	0	3	94
fixed	2	4	12	437361	4	3	3	1	0	1075	1	4	0	56	45	0	3	94
fixed	2	5	1	439605	4	1	1	2	0	1284	2	4	0	40	46	0	3	94
fixed	2	5	2	441768	1	2	2	1	0	1344	1	4	0	48	47	0	3	94
fixed	2	5	3	443914	6	4	4	1	0	997	1	4	0	64	48	0	3	94
fixed	2	5	4	445792	2	1	1	2	0	1390	2	4	0	40	49	0	3	94
fixed	2	5	5	447694	5	3	3	2	0	1245	2	4	0	56	50	0	3	94
fixed	2	5	6	449443	6	4	4	1	0	931	1	4	0	64	51	0	3	94
