BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed
1;1;2,315536;1;4;4
1;2;3,365479;1;1;1
1;3;4,598236;1;3;3
1;4;6,297745;1;2;2
1;5;8,379791;1;4;4
1;6;9,81311;0;4;1
1;7;11,4792;0;1;3
1;8;12,41257;0;3;2
1;9;13,81235;0;2;4
1;10;15,51163;1;4;4
1;11;16,52698;0;4;1
1;12;17,56102;0;1;3
1;13;18,79373;0;3;2
1;14;19,89346;0;2;4
1;15;21,04282;1;4;4
1;16;22,04265;0;4;1
1;17;25,25803;0;1;3
1;18;26,64139;0;3;2
1;19;28,04054;0;2;4
1;20;29,32359;1;4;4
2;21;0,7333527;1;4;4
2;22;1,94928;1;1;1
2;23;2,965271;1;3;3
2;24;4,164932;1;2;2
2;25;5,381409;1;4;4
2;26;6,831329;1;4;4
2;27;7,914459;1;1;1
2;28;9,496231;1;3;3
2;29;10,5134;1;2;2
2;30;11,49606;1;4;4
2;31;12,74573;0;4;1
2;32;16,62794;0;1;3
2;33;17,89392;0;3;2
2;34;18,99297;0;2;4
2;35;20,45985;1;4;4
2;36;22,25922;0;4;1
2;37;23,97592;0;1;3
2;38;25,50815;0;3;2
2;39;26,57407;0;2;4
2;40;28,22357;1;4;4
2;41;29,92276;0;4;1
3;42;0,9505005;1;4;4
3;43;2,016327;1;1;1
3;44;3,281799;1;3;3
3;45;4,232269;1;2;2
3;46;5,448669;1;4;4
3;47;6,831299;0;4;1
3;48;8,847168;0;1;3
3;49;9,96405;0;3;2
3;50;10,99692;0;2;4
3;51;12,47943;1;4;4
3;52;14,32901;0;4;1
3;53;15,87857;0;1;3
3;54;18,31064;0;3;2
3;55;19,87662;0;2;4
3;56;22,8089;1;4;4
3;57;24,15912;0;4;1
3;58;25,92493;0;1;3
3;59;27,55777;0;3;2
3;60;28,95767;0;2;4
4;61;0,9674683;1;4;4
4;62;2,033661;1;1;1
4;63;3,115845;1;3;3
4;64;3,949341;1;2;2
4;65;4,9328;1;4;4
4;66;6,081635;0;4;1
4;67;7,931274;0;1;3
4;68;9,098236;0;3;2
4;69;10,23093;0;2;4
4;70;11,69727;1;4;4
4;71;12,93024;0;4;1
4;72;14,46289;0;1;3
4;73;15,46259;0;3;2
4;74;16,71185;0;2;4
4;75;18,47739;1;4;4
4;76;19,49426;0;4;1
4;77;20,67764;0;1;3
4;78;21,82718;0;3;2
4;79;23,00967;0;2;4
4;80;24,65878;1;4;4
4;81;25,84244;0;4;1
4;82;27,10861;0;1;3
4;83;28,00836;0;3;2
4;84;29,15778;0;2;4
5;85;1,282898;1;4;4
5;86;2,10025;1;1;1
5;87;3,250122;1;3;3
5;88;4,349213;1;2;2
5;89;5,815704;1;4;4
5;90;6,865051;1;4;4
5;91;8,081787;1;1;1
5;92;9,080383;1;3;3
5;93;10,13089;1;2;2
5;94;12,0134;1;4;4
5;95;13,04608;1;4;4
5;96;14,32919;1;1;1
5;97;16,11221;1;3;3
5;98;17,11172;1;2;2
5;99;18,19461;1;4;4
5;100;19,37778;1;4;4
5;101;20,34351;1;1;1
5;102;21,52661;1;3;3
5;103;22,62634;1;2;2
5;104;23,77585;1;4;4
5;105;24,94208;1;4;4
