Block;Sequence;timeOn;timeOff;endBlockPause;endBlockMessage;endBlockManualContinuation
1;1-1-1-3-2;30;30;0;"""";0;
2;1-3-1-3-2;30;30;0;"""";0;
3;1-3-1-3-2;30;30;0;"""";0;
4;1-3-1-3-2;30;30;0;"""";0;
