BlockNumber	SequenceNumber	EventNumber	Time	isHit	target	pressed	sequence
1	1	1	1435	1	4	4	0
1	1	2	1964	1	1	1	0
1	1	3	2408	1	3	3	0
1	1	4	2806	1	2	2	0
1	1	5	3423	1	4	4	0
1	2	1	1221	1	4	4	0
1	2	2	1659	1	1	1	0
1	2	3	2112	1	3	3	0
1	2	4	2473	1	2	2	0
1	2	5	3003	1	4	4	0
1	3	1	589	1	4	4	0
1	3	2	1230	1	1	1	0
1	3	3	1716	1	3	3	0
1	3	4	2096	1	2	2	0
1	3	5	2580	1	4	4	0
1	4	1	400	1	4	4	0
1	4	2	1019	1	1	1	0
1	4	3	1512	1	3	3	0
1	4	4	1947	1	2	2	0
1	4	5	2371	1	4	4	0
1	5	1	444	1	4	4	0
1	5	2	848	1	1	1	0
1	5	3	1276	1	3	3	0
1	5	4	1783	1	2	2	0
1	5	5	2201	1	4	4	0
1	6	1	446	1	4	4	0
1	6	2	794	1	1	1	0
1	6	3	1220	1	3	3	0
1	6	4	1624	1	2	2	0
1	6	5	2061	1	4	4	0
1	7	1	387	1	4	4	0
1	7	2	734	1	1	1	0
1	7	3	1158	1	3	3	0
1	7	4	1541	1	2	2	0
1	7	5	2005	1	4	4	0
1	8	1	413	1	4	4	0
1	8	2	748	1	1	1	0
1	8	3	1158	1	3	3	0
1	8	4	1529	1	2	2	0
1	8	5	1942	1	4	4	0
1	9	1	385	1	4	4	0
1	9	2	681	1	1	1	0
1	9	3	1103	1	3	3	0
1	9	4	1518	1	2	2	0
1	9	5	2051	1	4	4	0
1	10	1	367	1	4	4	0
1	10	2	719	1	1	1	0
1	10	3	1115	1	3	3	0
1	10	4	1419	1	2	2	0
1	10	5	1909	1	4	4	0
1	11	1	382	1	4	4	0
1	11	2	732	1	1	1	0
1	11	3	1158	1	3	3	0
1	11	4	1474	1	2	2	0
1	11	5	1995	1	4	4	0
1	12	1	353	1	4	4	0
1	12	2	797	1	1	1	0
1	12	3	1691	1	3	3	0
1	12	4	2001	1	2	2	0
1	12	5	3187	1	4	4	0
2	13	1	1325	1	4	4	0
2	13	2	1837	1	1	1	0
2	13	3	2290	1	3	3	0
2	13	4	2609	1	2	2	0
2	13	5	3102	1	4	4	0
2	14	1	353	1	4	4	0
2	14	2	684	1	1	1	0
2	14	3	1082	1	3	3	0
2	14	4	1404	1	2	2	0
2	14	5	1817	1	4	4	0
2	15	1	368	1	4	4	0
2	15	2	667	1	1	1	0
2	15	3	1169	1	3	3	0
