EventNumber	Time	isHit	Timeipi	all_lsln	hit_lsln
4	2942	1	686	686	1
5	3335	1	393	393	1
6	3575	1	240	240	1
7	4139	1	564	564	1
8	4951	1	812	812	1
9	5854	1	903	903	1
10	6448	1	594	594	1
1	1378	1	1378	1378	1
2	2059	1	681	681	1
3	3250	1	1191	1191	1
4	3742	0	492	492	0
5	4353	1	611	611	1
6	4527	1	174	174	1
7	4848	1	321	321	1
8	5478	1	630	630	1
9	5775	1	297	297	1
10	6043	1	268	268	1
1	1114	1	1114	1114	1
2	1811	1	697	697	1
3	2415	1	604	604	1
4	2873	1	458	458	1
5	3516	1	643	643	1
6	3812	1	296	296	1
7	4306	1	494	494	1
8	4792	1	486	486	1
9	5017	1	225	225	1
10	5429	1	412	412	1
1	873	1	873	873	1
2	1326	1	453	453	1
3	2130	1	804	804	1
4	2954	1	824	824	1
5	3585	1	631	631	1
6	4958	1	1373	1373	1
7	5733	1	775	775	1
8	6774	1	1041	1041	1
9	7523	1	749	749	1
10	8279	1	756	756	1
1	1166	1	1166	1166	1
2	1867	1	701	701	1
3	2592	1	725	725	1
4	3524	1	932	932	1
5	4120	1	596	596	1
6	4349	1	229	229	1
7	4752	1	403	403	1
8	5214	1	462	462	1
9	5422	1	208	208	1
10	5707	1	285	285	1
1	1041	1	1041	1041	1
2	1716	1	675	675	1
3	2280	1	564	564	1
4	2735	1	455	455	1
5	3751	0	1016	1016	0
6	4449	0	698	698	0
7	5033	0	584	584	0
8	5737	0	704	704	0
9	6206	0	469	469	0
10	7558	1	1352	1352	1
1	1463	1	1463	1463	1
2	2474	1	1011	1011	1
3	3272	1	798	798	1
4	4430	1	1158	1158	1
5	5197	1	767	767	1
6	5673	1	476	476	1
7	6524	1	851	851	1
8	7287	1	763	763	1
9	7953	1	666	666	1
10	8639	1	686	686	1
1	1092	1	1092	1092	1
2	1904	1	812	812	1
3	2569	1	665	665	1
4	3467	1	898	898	1
5	4259	1	792	792	1
6	4780	1	521	521	1
7	5596	1	816	816	1
8	6274	1	678	678	1
9	6813	1	539	539	1
10	7351	1	538	538	1
1	791	1	791	791	1
2	1448	1	657	657	1
3	2269	1	821	821	1
4	3125	1	856	856	1
5	3783	1	658	658	1
6	4180	1	397	397	1
7	4973	1	793	793	1
8	5915	1	942	942	1
9	6604	1	689	689	1
10	7285	1	681	681	1
1	874	1	874	874	1
2	1449	1	575	575	1
3	2689	1	1240	1240	1
4	3345	1	656	656	1
5	4090	1	745	745	1
6	4640	1	550	550	1
7	5365	1	725	725	1
8	6138	1	773	773	1
9	7390	1	1252	1252	1
10	8089	1	699	699	1
1	992	1	992	992	1
2	1679	1	687	687	1
3	2391	1	712	712	1
4	3189	0	798	798	0
5	4215	1	1026	1026	1
6	5749	1	1534	1534	1
7	6689	1	940	940	1
8	7263	1	574	574	1
9	8381	1	1118	1118	1
