BlockNumber	SequenceNumber	EventNumber	Time	isHit	target	pressed	sequence
1	1	1	500	0	4	2	0
1	1	2	2431	0	1	2	0
1	1	3	234	0	3	1	0
1	1	4	1499	1	2	2	0
1	1	5	901	0	4	2	0
1	2	1	98	1	4	4	0
1	2	2	918	1	1	1	0
1	2	3	1249	1	3	3	0
1	2	4	867	1	2	2	0
1	2	5	1083	1	4	4	0
1	3	1	732	0	4	1	0
1	3	2	484	1	1	1	0
1	3	3	99	0	3	1	0
1	3	4	1284	0	2	4	0
1	3	5	299	0	4	2	0
1	4	1	1417	0	4	1	0
1	4	2	1633	1	1	1	0
1	4	3	2049	1	3	3	0
1	4	4	1100	1	2	2	0
1	4	5	1033	1	4	4	0
1	5	1	1232	1	4	4	0
1	5	2	117	1	1	1	0
1	5	3	1366	1	3	3	0
1	5	4	1532	1	2	2	0
1	5	5	950	1	4	4	0
2	6	1	199	0	4	2	0
2	6	2	1433	1	1	1	0
2	6	3	1050	1	3	3	0
2	6	4	1033	1	2	2	0
2	6	5	833	1	4	4	0
2	7	1	1500	1	4	4	0
2	7	2	848	1	1	1	0
2	7	3	1083	1	3	3	0
2	7	4	984	1	2	2	0
2	7	5	1466	1	4	4	0
2	8	1	933	0	4	2	0
2	8	2	866	1	1	1	0
2	8	3	917	0	3	2	0
2	8	4	333	0	2	3	0
2	8	5	66	0	4	2	0
2	9	1	1483	1	4	4	0
2	9	2	18	0	1	3	0
2	9	3	833	0	3	2	0
2	9	4	1215	1	2	2	0
2	9	5	817	1	4	4	0
2	10	1	950	1	4	4	0
2	10	2	817	1	1	1	0
2	10	3	932	1	3	3	0
2	10	4	866	1	2	2	0
2	10	5	1334	1	4	4	0
2	11	1	133	0	4	1	0
2	11	2	1916	1	1	1	0
2	11	3	1215	1	3	3	0
2	11	4	134	1	2	2	0
2	11	5	1116	1	4	4	0
3	12	1	1017	1	4	4	0
3	12	2	850	1	1	1	0
3	12	3	1049	1	3	3	0
3	12	4	833	1	2	2	0
3	12	5	933	1	4	4	0
3	13	1	950	0	4	2	0
3	13	2	966	1	1	1	0
3	13	3	1600	1	3	3	0
3	13	4	882	1	2	2	0
3	13	5	917	1	4	4	0
3	14	1	584	0	4	2	0
3	14	2	199	0	1	4	0
3	14	3	1134	1	3	3	0
3	14	4	866	1	2	2	0
3	14	5	1116	1	4	4	0
3	15	1	667	0	4	2	0
3	15	2	32	0	1	4	0
3	15	3	1133	1	3	3	0
3	15	4	333	1	2	2	0
3	15	5	1200	1	4	4	0
3	16	1	951	1	4	4	0
3	16	2	1016	1	1	1	0
3	16	3	349	0	3	2	0
3	16	4	2632	1	2	2	0
3	16	5	533	0	4	2	0
4	17	1	966	1	4	4	0
4	17	2	151	0	1	3	0
4	17	3	1115	1	3	3	0
4	17	4	1050	1	2	2	0
4	17	5	917	1	4	4	0
4	18	1	66	0	4	2	0
4	18	2	1049	1	1	1	0
4	18	3	916	0	3	1	0
4	18	4	285	0	2	1	0
4	18	5	1149	0	4	1	0
4	19	1	833	1	4	4	0
4	19	2	783	1	1	1	0
4	19	3	733	0	3	1	0
4	19	4	83	0	2	1	0
4	19	5	183	0	4	3	0
4	20	1	983	1	4	4	0
4	20	2	1117	1	1	1	0
4	20	3	1632	1	3	3	0
4	20	4	967	1	2	2	0
4	20	5	883	1	4	4	0
4	21	1	767	0	4	2	0
4	21	2	882	1	1	1	0
4	21	3	1234	1	3	3	0
4	21	4	150	0	2	4	0
4	21	5	1499	1	4	4	0
4	22	1	1332	0	4	3	0
4	22	2	868	1	1	1	0
4	22	3	1199	1	3	3	0
4	22	4	1266	1	2	2	0
4	22	5	1965	1	4	4	0
5	23	1	3165	1	4	4	0
5	23	2	66	1	1	1	0
5	23	3	184	0	3	1	0
5	23	4	633	0	2	1	0
5	23	5	400	0	4	1	0
5	24	1	33	0	4	2	0
5	24	2	982	1	1	1	0
5	24	3	601	0	3	1	0
5	24	4	582	0	2	3	0
