type	block	sequ.	trial	time	Pos.	Color	Button	NumRsp	Resp_1	RT_1	R_Code	Resp_2	RT_2	Trigg.	n_hit	n_inc	n_miss	score_%

random	1	1	1	66505	6	1	1	1	0	979	1	4	0	8	1	0	0	100
random	1	1	2	68174	4	4	4	1	0	765	1	4	0	32	2	0	0	100
random	1	1	3	69895	2	2	2	1	0	1076	1	4	0	16	3	0	0	100
random	1	1	4	71931	3	3	3	1	0	670	1	4	0	24	4	0	0	100
random	1	1	5	73334	5	2	2	1	0	971	1	4	0	16	5	0	0	100
random	1	1	6	74943	1	4	4	1	0	790	1	4	0	32	6	0	0	100
random	1	1	7	76644	6	1	1	1	0	799	1	4	0	8	7	0	0	100
random	1	1	8	78430	2	3	3	1	0	1123	1	4	0	24	8	0	0	100
random	1	1	9	80410	4	2	2	1	0	751	1	4	0	16	9	0	0	100
random	1	1	10	81499	1	1	1	1	0	945	1	4	0	8	10	0	0	100
random	1	1	11	83423	5	4	4	1	0	671	1	4	0	32	11	0	0	100
random	1	1	12	85087	3	3	3	1	0	1032	1	4	0	24	12	0	0	100
random	1	1	13	87007	5	2	2	1	0	911	1	4	0	16	13	0	0	100
random	1	1	14	88789	1	4	4	1	0	716	1	4	0	32	14	0	0	100
random	1	1	15	90040	3	1	1	1	0	735	1	4	0	8	15	0	0	100
random	1	1	16	91694	4	3	3	1	0	969	1	4	0	24	16	0	0	100
random	1	1	17	93302	6	4	4	1	0	733	1	4	0	32	17	0	0	100
random	1	1	18	94515	2	1	1	1	0	881	1	4	0	8	18	0	0	100
random	1	1	19	96237	5	3	3	1	0	968	1	4	0	24	19	0	0	100
random	1	1	20	98131	2	2	2	1	0	577	1	4	0	16	20	0	0	100
random	1	1	21	99289	3	3	3	1	0	695	1	4	0	24	21	0	0	100
random	1	1	22	100457	6	1	1	1	0	853	1	4	0	8	22	0	0	100
random	1	1	23	102341	4	2	2	1	0	894	1	4	0	16	23	0	0	100
random	1	1	24	103881	1	4	4	1	0	684	1	4	0	32	24	0	0	100
random	1	1	25	105369	4	3	3	3	0	1213	2	4	0	24	25	0	0	100
random	1	1	26	107232	2	1	1	1	0	1039	1	4	0	8	26	0	0	100
random	1	1	27	108806	5	2	2	1	0	892	1	4	0	16	27	0	0	100
random	1	1	28	110573	6	4	4	1	0	649	1	4	0	32	28	0	0	100
random	1	1	29	111545	1	3	3	1	0	888	1	4	0	24	29	0	0	100
random	1	1	30	113378	5	2	2	1	0	762	1	4	0	16	30	0	0	100
random	1	1	31	114779	2	1	1	1	0	823	1	4	0	8	31	0	0	100
random	1	1	32	116518	3	3	3	1	0	805	1	4	0	24	32	0	0	100
random	1	1	33	118050	6	4	4	1	0	644	1	4	0	32	33	0	0	100
random	1	1	34	119517	4	2	2	1	0	655	1	4	0	16	34	0	0	100
random	1	1	35	120459	3	4	4	1	0	854	1	4	0	32	35	0	0	100
random	1	1	36	121964	1	1	0	1	2	0	3	4	0	8	35	0	1	97
random	1	1	37	125569	3	4	4	1	0	838	1	4	0	32	36	0	1	97
random	1	1	38	126859	5	3	3	1	0	815	1	4	0	24	37	0	1	97
random	1	1	39	128533	6	1	1	1	0	873	1	4	0	8	38	0	1	97
random	1	1	40	130200	1	2	2	1	0	826	1	4	0	16	39	0	1	98
random	1	1	41	131977	2	3	3	1	0	815	1	4	0	24	40	0	1	98
random	1	1	42	133171	4	4	4	1	0	740	1	4	0	32	41	0	1	98
random	1	1	43	134911	1	2	2	1	0	1098	1	4	0	16	42	0	1	98
random	1	1	44	136975	6	3	3	1	0	651	1	4	0	24	43	0	1	98
random	1	1	45	138308	3	1	1	1	0	731	1	4	0	8	44	0	1	98
random	1	1	46	139858	4	4	4	1	0	713	1	4	0	32	45	0	1	98
random	1	1	47	141547	2	2	2	1	0	769	1	4	0	16	46	0	1	98
random	1	1	48	143175	5	1	1	2	0	901	2	4	0	8	47	0	1	98
random	1	1	49	145351	2	3	3	1	0	848	1	4	0	24	48	0	1	98
random	1	1	50	146755	3	1	1	2	0	997	2	4	0	8	49	0	1	98
random	1	1	51	148337	1	4	4	1	0	778	1	4	0	32	50	0	1	98
random	1	1	52	150120	5	3	3	1	0	854	1	4	0	24	51	0	1	98
random	1	1	53	151749	3	2	2	1	0	625	1	4	0	16	52	0	1	98
random	1	1	54	153403	6	4	4	1	0	715	1	4	0	32	53	0	1	98
random	1	1	55	154982	4	2	2	1	0	936	1	4	0	16	54	0	1	98
random	1	1	56	156898	1	1	0	1	2	0	3	4	0	8	54	0	2	96
random	1	1	57	160393	5	4	4	1	0	739	1	4	0	32	55	0	2	96
random	1	1	58	161918	2	1	1	2	0	947	2	4	0	8	56	0	2	97
random	1	1	59	163236	6	2	2	1	0	867	1	4	0	16	57	0	2	97
random	1	1	60	164705	4	3	3	1	0	772	1	4	0	24	58	0	2	97
random	1	1	61	166553	1	2	2	1	0	886	1	4	0	16	59	0	2	97
random	1	1	62	168390	6	4	4	1	0	600	1	4	0	32	60	0	2	97
random	1	1	63	169590	4	1	1	2	0	1302	2	4	0	8	61	0	2	97
random	1	1	64	171348	2	2	2	1	0	779	1	4	0	16	62	0	2	97
random	1	1	65	172444	4	3	3	1	0	837	1	4	0	24	63	0	2	97
random	1	1	66	173810	3	1	1	1	0	971	1	4	0	8	64	0	2	97
random	1	1	67	175821	1	3	3	1	0	838	1	4	0	24	65	0	2	97
random	1	1	68	177493	5	4	4	1	0	775	1	4	0	32	66	0	2	97
random	1	1	69	178739	2	2	2	1	0	786	1	4	0	16	67	0	2	97
random	1	1	70	180052	3	1	1	1	0	970	1	4	0	8	68	0	2	97
random	1	1	71	181794	5	4	4	1	0	785	1	4	0	32	69	0	2	97
random	1	1	72	183108	6	3	3	1	0	833	1	4	0	24	70	0	2	97
random	1	1	73	185065	2	1	1	1	0	934	1	4	0	8	71	0	2	97
random	1	1	74	186695	5	3	3	1	0	785	1	4	0	24	72	0	2	97
random	1	1	75	187876	1	4	4	1	0	791	1	4	0	32	73	0	2	97
random	1	1	76	189657	6	2	2	1	0	651	1	4	0	16	74	0	2	97
random	1	1	77	190766	2	1	1	1	0	869	1	4	0	8	75	0	2	97
random	1	1	78	192132	4	4	4	1	0	770	1	4	0	32	76	0	2	97
random	1	1	79	193337	3	2	2	1	0	872	1	4	0	16	77	0	2	97
random	1	1	80	194723	4	3	3	1	0	709	1	4	0	24	78	0	2	98
random	1	1	81	196297	1	4	4	1	0	642	1	4	0	32	79	0	2	98
random	1	1	82	197574	5	1	1	2	0	997	2	4	0	8	80	0	2	98
random	1	1	83	199147	3	2	2	1	0	833	1	4	0	16	81	0	2	98
random	1	1	84	200357	6	3	3	1	0	702	1	4	0	24	82	0	2	98
random	1	1	85	202141	3	2	2	1	0	947	1	4	0	16	83	0	2	98
random	1	1	86	204008	1	3	3	1	0	700	1	4	0	24	84	0	2	98
random	1	1	87	205603	4	4	4	1	0	944	1	4	0	32	85	0	2	98
random	1	1	88	207114	2	1	1	1	0	688	1	4	0	8	86	0	2	98
random	1	1	89	208265	6	4	4	1	0	632	1	4	0	32	87	0	2	98
random	1	1	90	209307	3	3	3	1	0	923	1	4	0	24	88	0	2	98
random	1	1	91	210657	5	4	4	1	0	834	1	4	0	32	89	0	2	98
random	1	1	92	212442	1	2	2	1	0	591	1	4	0	16	90	0	2	98
random	1	1	93	214052	5	1	1	1	0	874	1	4	0	8	91	0	2	98
random	1	1	94	215301	4	3	3	1	0	846	1	4	0	24	92	0	2	98
random	1	1	95	217040	6	1	1	1	0	892	1	4	0	8	93	0	2	98
random	1	1	96	218327	2	2	2	1	0	805	1	4	0	16	94	0	2	98
random	1	1	97	220352	4	3	3	2	0	847	2	4	0	24	95	0	2	98
random	1	1	98	222191	3	2	2	1	0	745	1	4	0	16	96	0	2	98
random	1	1	99	223611	6	3	3	1	0	973	1	4	0	24	97	0	2	98
random	1	1	100	225460	1	4	4	1	0	663	1	4	0	32	98	0	2	98
random	1	1	101	226862	4	1	1	2	0	964	2	4	0	8	99	0	2	98
random	1	1	102	228719	5	2	2	1	0	853	1	4	0	16	100	0	2	98
random	1	1	103	230406	2	4	4	1	0	582	1	4	0	32	101	0	2	98
random	1	1	104	231366	3	1	1	2	0	1085	2	4	0	8	102	0	2	98
random	1	1	105	233422	1	3	3	1	0	726	1	4	0	24	103	0	2	98
random	1	1	106	235028	2	2	2	1	0	994	1	4	0	16	104	0	2	98
random	1	1	107	236923	5	4	4	1	0	706	1	4	0	32	105	0	2	98
random	1	1	108	238057	6	1	0	1	2	0	3	4	0	8	105	0	3	97
random	1	1	109	241704	5	4	4	1	0	719	1	4	0	32	106	0	3	97
random	1	1	110	243271	6	3	3	1	0	813	1	4	0	24	107	0	3	97
random	1	1	111	244520	2	2	2	1	0	712	1	4	0	16	108	0	3	97
random	1	1	112	246058	3	1	1	1	0	903	1	4	0	8	109	0	3	97
random	1	1	113	247342	1	2	2	1	0	752	1	4	0	16	110	0	3	97
random	1	1	114	248720	2	3	3	1	0	774	1	4	0	24	111	0	3	97
random	1	1	115	249873	3	1	1	2	0	1213	2	4	0	8	112	0	3	97
random	1	1	116	251774	4	4	4	1	0	685	1	4	0	32	113	0	3	97
random	1	1	117	253041	6	1	1	2	0	775	2	4	0	8	114	0	3	97
random	1	1	118	254524	5	3	3	1	0	824	1	4	0	24	115	0	3	97
random	1	1	119	256250	1	4	4	1	0	583	1	4	0	32	116	0	3	97
random	1	1	120	257628	4	2	2	1	0	781	1	4	0	16	117	0	3	98
fixed	2	1	1	259328	4	1	1	2	0	980	2	4	0	40	1	0	0	100
fixed	2	1	2	261023	1	2	2	1	0	725	1	4	0	48	2	0	0	100
fixed	2	1	3	262114	6	4	4	1	0	679	1	4	0	64	3	0	0	100
fixed	2	1	4	263392	2	1	1	2	0	712	2	4	0	40	4	0	0	100
fixed	2	1	5	264659	5	3	3	1	0	771	1	4	0	56	5	0	0	100
fixed	2	1	6	265863	6	4	4	2	0	840	2	4	0	64	6	0	0	100
fixed	2	1	7	267635	3	1	1	2	0	709	2	4	0	40	7	0	0	100
fixed	2	1	8	269324	2	3	3	1	0	805	1	4	0	56	8	0	0	100
fixed	2	1	9	270455	3	2	2	1	0	806	1	4	0	48	9	0	0	100
fixed	2	1	10	272100	1	4	4	2	0	2400	2	4	0	64	10	0	0	100
fixed	2	1	11	274978	5	2	2	1	0	870	1	4	0	48	11	0	0	100
fixed	2	1	12	276391	4	3	3	2	0	858	2	4	0	56	12	0	0	100
fixed	2	2	1	278194	4	1	1	3	0	1877	2	4	0	40	13	0	0	100
fixed	2	2	2	280790	1	2	2	1	0	968	1	4	0	48	14	0	0	100
fixed	2	2	3	282604	6	4	4	1	0	635	1	4	0	64	15	0	0	100
fixed	2	2	4	283958	2	1	1	2	0	977	2	4	0	40	16	0	0	100
fixed	2	2	5	285643	5	3	3	1	0	794	1	4	0	56	17	0	0	100
fixed	2	2	6	286979	6	4	4	1	0	721	1	4	0	64	18	0	0	100
fixed	2	2	7	288123	3	1	1	1	0	705	1	4	0	40	19	0	0	100
fixed	2	2	8	289122	2	3	3	1	0	871	1	4	0	56	20	0	0	100
fixed	2	2	9	290935	3	2	2	1	0	826	1	4	0	48	21	0	0	100
fixed	2	2	10	292717	1	4	4	1	0	566	1	4	0	64	22	0	0	100
fixed	2	2	11	293933	5	2	2	1	0	603	1	4	0	48	23	0	0	100
fixed	2	2	12	294962	4	3	3	1	0	816	1	4	0	56	24	0	0	100
fixed	2	3	1	296505	4	1	1	2	0	1126	2	4	0	40	25	0	0	100
fixed	2	3	2	298221	1	2	2	1	0	886	1	4	0	48	26	0	0	100
fixed	2	3	3	299805	6	4	4	1	0	642	1	4	0	64	27	0	0	100
fixed	2	3	4	300994	2	1	1	2	0	976	2	4	0	40	28	0	0	100
fixed	2	3	5	302797	5	3	3	1	0	868	1	4	0	56	29	0	0	100
fixed	2	3	6	304572	6	4	4	1	0	816	1	4	0	64	30	0	0	100
fixed	2	3	7	305802	3	1	1	1	0	996	1	4	0	40	31	0	0	100
