type	block	sequ.	trial	time	Pos.	Color	Button	NumRsp	Resp_1	RT_1	R_Code	Resp_2	RT_2	Trigg.	n_hit	n_inc	n_miss	score_%

random	1	1	1	3562	6	1	1	1	0	668	1	4	0	8	1	0	0	100
random	1	1	2	5027	4	4	4	1	0	830	1	4	0	32	2	0	0	100
random	1	1	3	6324	2	2	2	1	0	831	1	4	0	16	3	0	0	100
random	1	1	4	7737	3	3	3	1	0	476	1	4	0	24	4	0	0	100
random	1	1	5	9083	5	2	2	1	0	698	1	4	0	16	5	0	0	100
random	1	1	6	10793	1	4	4	1	0	442	1	4	0	32	6	0	0	100
random	1	1	7	11884	6	1	1	1	0	547	1	4	0	8	7	0	0	100
random	1	1	8	13161	2	3	3	1	0	942	1	4	0	24	8	0	0	100
random	1	1	9	15016	4	2	2	1	0	399	1	4	0	16	9	0	0	100
random	1	1	10	16181	1	1	1	1	0	686	1	4	0	8	10	0	0	100
random	1	1	11	17872	5	4	4	1	0	598	1	4	0	32	11	0	0	100
random	1	1	12	19424	3	3	3	1	0	628	1	4	0	24	12	0	0	100
random	1	1	13	21307	5	2	2	1	0	732	1	4	0	16	13	0	0	100
random	1	1	14	22476	1	4	4	1	0	587	1	4	0	32	14	0	0	100
random	1	1	15	23985	3	1	1	1	0	531	1	4	0	8	15	0	0	100
random	1	1	16	24802	4	3	3	1	0	640	1	4	0	24	16	0	0	100
random	1	1	17	26205	6	4	4	1	0	637	1	4	0	32	17	0	0	100
random	1	1	18	27838	2	1	1	1	0	568	1	4	0	8	18	0	0	100
random	1	1	19	29241	5	3	3	1	0	869	1	4	0	24	19	0	0	100
random	1	1	20	31098	2	2	2	1	0	614	1	4	0	16	20	0	0	100
random	1	1	21	32547	3	3	0	1	2	0	3	4	0	24	20	0	1	95
random	1	1	22	35950	6	1	1	1	0	576	1	4	0	8	21	0	1	95
random	1	1	23	36947	4	2	2	1	0	830	1	4	0	16	22	0	1	96
random	1	1	24	38812	1	4	4	1	0	679	1	4	0	32	23	0	1	96
random	1	1	25	40422	4	3	3	2	0	947	2	4	0	24	24	0	1	96
random	1	1	26	42358	2	1	1	1	0	737	1	4	0	8	25	0	1	96
random	1	1	27	43449	5	2	2	1	0	779	1	4	0	16	26	0	1	96
random	1	1	28	44516	6	4	4	1	0	661	1	4	0	32	27	0	1	96
random	1	1	29	45796	1	3	3	1	0	688	1	4	0	24	28	0	1	97
random	1	1	30	47307	5	2	2	1	0	663	1	4	0	16	29	0	1	97
random	1	1	31	48289	2	1	1	1	0	709	1	4	0	8	30	0	1	97
random	1	1	32	50043	3	3	3	1	0	795	1	4	0	24	31	0	1	97
random	1	1	33	51168	6	4	4	1	0	660	1	4	0	32	32	0	1	97
random	1	1	34	52361	4	2	0	1	2	0	3	4	0	16	32	0	2	94
random	1	1	35	55501	3	4	4	1	0	724	1	4	0	32	33	0	2	94
random	1	1	36	56910	1	1	1	1	0	624	1	4	0	8	34	0	2	94
random	1	1	37	58249	3	4	4	1	0	728	1	4	0	32	35	0	2	95
random	1	1	38	59417	5	3	3	1	0	782	1	4	0	24	36	0	2	95
random	1	1	39	60702	6	1	1	1	0	720	1	4	0	8	37	0	2	95
random	1	1	40	61965	1	2	2	1	0	811	1	4	0	16	38	0	2	95
random	1	1	41	63299	2	3	3	1	0	642	1	4	0	24	39	0	2	95
random	1	1	42	64358	4	4	4	1	0	573	1	4	0	32	40	0	2	95
random	1	1	43	65792	1	2	2	1	0	888	1	4	0	16	41	0	2	95
random	1	1	44	67641	6	3	3	1	0	506	1	4	0	24	42	0	2	95
random	1	1	45	68730	3	1	1	1	0	724	1	4	0	8	43	0	2	96
random	1	1	46	70470	4	4	4	1	0	458	1	4	0	32	44	0	2	96
random	1	1	47	71285	2	2	2	1	0	632	1	4	0	16	45	0	2	96
random	1	1	48	72362	5	1	1	1	0	722	1	4	0	8	46	0	2	96
random	1	1	49	73722	2	3	3	1	0	848	1	4	0	24	47	0	2	96
random	1	1	50	75218	3	1	1	1	0	1169	1	4	0	8	48	0	2	96
random	1	1	51	77062	1	4	4	1	0	531	1	4	0	32	49	0	2	96
random	1	1	52	77957	5	3	3	1	0	877	1	4	0	24	50	0	2	96
random	1	1	53	79241	3	2	2	1	0	487	1	4	0	16	51	0	2	96
random	1	1	54	80248	6	4	4	1	0	612	1	4	0	32	52	0	2	96
random	1	1	55	81565	4	2	2	1	0	588	1	4	0	16	53	0	2	96
random	1	1	56	82602	1	1	1	1	0	585	1	4	0	8	54	0	2	96
random	1	1	57	83885	5	4	4	1	0	610	1	4	0	32	55	0	2	96
random	1	1	58	85165	2	1	1	1	0	748	1	4	0	8	56	0	2	97
random	1	1	59	86605	6	2	2	1	0	543	1	4	0	16	57	0	2	97
random	1	1	60	87871	4	3	3	1	0	449	1	4	0	24	58	0	2	97
random	1	1	61	88908	1	2	2	1	0	661	1	4	0	16	59	0	2	97
random	1	1	62	90352	6	4	4	1	0	616	1	4	0	32	60	0	2	97
random	1	1	63	91991	4	1	1	1	0	563	1	4	0	8	61	0	2	97
random	1	1	64	93031	2	2	2	1	0	823	1	4	0	16	62	0	2	97
random	1	1	65	94303	4	3	3	1	0	616	1	4	0	24	63	0	2	97
random	1	1	66	95870	3	1	1	1	0	783	1	4	0	8	64	0	2	97
random	1	1	67	97475	1	3	3	1	0	819	1	4	0	24	65	0	2	97
random	1	1	68	99200	5	4	4	1	0	585	1	4	0	32	66	0	2	97
random	1	1	69	100110	2	2	2	1	0	723	1	4	0	16	67	0	2	97
random	1	1	70	101312	3	1	1	1	0	584	1	4	0	8	68	0	2	97
random	1	1	71	102602	5	4	4	1	0	601	1	4	0	32	69	0	2	97
random	1	1	72	103671	6	3	3	1	0	860	1	4	0	24	70	0	2	97
random	1	1	73	105231	2	1	1	1	0	770	1	4	0	8	71	0	2	97
random	1	1	74	106331	5	3	3	1	0	699	1	4	0	24	72	0	2	97
random	1	1	75	107378	1	4	4	1	0	567	1	4	0	32	73	0	2	97
random	1	1	76	108343	6	2	2	1	0	526	1	4	0	16	74	0	2	97
random	1	1	77	109348	2	1	1	1	0	644	1	4	0	8	75	0	2	97
random	1	1	78	110909	4	4	4	1	0	729	1	4	0	32	76	0	2	97
random	1	1	79	112650	3	2	2	1	0	831	1	4	0	16	77	0	2	97
random	1	1	80	114403	4	3	3	1	0	621	1	4	0	24	78	0	2	98
random	1	1	81	115816	1	4	4	1	0	682	1	4	0	32	79	0	2	98
random	1	1	82	116789	5	1	1	1	0	649	1	4	0	8	80	0	2	98
random	1	1	83	118255	3	2	2	1	0	754	1	4	0	16	81	0	2	98
random	1	1	84	119776	6	3	3	1	0	514	1	4	0	24	82	0	2	98
random	1	1	85	121538	3	2	2	1	0	1183	1	4	0	16	83	0	2	98
random	1	1	86	123287	1	3	3	1	0	397	1	4	0	24	84	0	2	98
random	1	1	87	124396	4	4	4	1	0	446	1	4	0	32	85	0	2	98
random	1	1	88	125322	2	1	1	1	0	479	1	4	0	8	86	0	2	98
random	1	1	89	126142	6	4	4	1	0	596	1	4	0	32	87	0	2	98
random	1	1	90	127351	3	3	3	1	0	641	1	4	0	24	88	0	2	98
random	1	1	91	128939	5	4	4	1	0	598	1	4	0	32	89	0	2	98
random	1	1	92	130493	1	2	2	2	0	1564	2	4	0	16	90	0	2	98
random	1	1	93	132661	5	1	1	1	0	672	1	4	0	8	91	0	2	98
random	1	1	94	133919	4	3	3	1	0	1107	1	4	0	24	92	0	2	98
random	1	1	95	135385	6	1	1	2	0	1077	2	4	0	8	93	0	2	98
random	1	1	96	136985	2	2	2	1	0	913	1	4	0	16	94	0	2	98
random	1	1	97	138697	4	3	3	1	0	816	1	4	0	24	95	0	2	98
random	1	1	98	140548	3	2	2	1	0	698	1	4	0	16	96	0	2	98
random	1	1	99	141593	6	3	3	1	0	854	1	4	0	24	97	0	2	98
random	1	1	100	143187	1	4	4	1	0	603	1	4	0	32	98	0	2	98
random	1	1	101	144244	4	1	1	1	0	501	1	4	0	8	99	0	2	98
random	1	1	102	145756	5	2	2	1	0	798	1	4	0	16	100	0	2	98
random	1	1	103	147324	2	4	4	1	0	707	1	4	0	32	101	0	2	98
random	1	1	104	149068	3	1	1	1	0	737	1	4	0	8	102	0	2	98
random	1	1	105	150154	1	3	3	1	0	707	1	4	0	24	103	0	2	98
random	1	1	106	151161	2	2	2	1	0	688	1	4	0	16	104	0	2	98
random	1	1	107	152291	5	4	4	1	0	649	1	4	0	32	105	0	2	98
random	1	1	108	153732	6	1	1	1	0	1035	1	4	0	8	106	0	2	98
random	1	1	109	155605	5	4	4	1	0	908	1	4	0	32	107	0	2	98
random	1	1	110	157218	6	3	3	1	0	880	1	4	0	24	108	0	2	98
random	1	1	111	158711	2	2	2	1	0	480	1	4	0	16	109	0	2	98
random	1	1	112	159948	3	1	1	1	0	988	1	4	0	8	110	0	2	98
random	1	1	113	161604	1	2	2	1	0	1102	1	4	0	16	111	0	2	98
random	1	1	114	163662	2	3	3	1	0	495	1	4	0	24	112	0	2	98
random	1	1	115	165020	3	1	1	1	0	646	1	4	0	8	113	0	2	98
random	1	1	116	166324	4	4	4	1	0	566	1	4	0	32	114	0	2	98
random	1	1	117	167315	6	1	1	1	0	732	1	4	0	8	115	0	2	98
random	1	1	118	168808	5	3	3	1	0	709	1	4	0	24	116	0	2	98
random	1	1	119	170196	1	4	4	1	0	666	1	4	0	32	117	0	2	98
random	1	1	120	171422	4	2	2	1	0	599	1	4	0	16	118	0	2	98
fixed	2	1	1	173045	4	1	1	1	0	689	1	4	0	40	1	0	0	100
fixed	2	1	2	174103	1	2	2	1	0	765	1	4	0	48	2	0	0	100
fixed	2	1	3	175525	6	4	4	1	0	617	1	4	0	64	3	0	0	100
fixed	2	1	4	176854	2	1	0	0	2	0	3	4	0	40	3	0	1	75
fixed	2	1	5	180046	5	3	3	1	0	737	1	4	0	56	4	0	1	80
fixed	2	1	6	181377	6	4	4	1	0	569	1	4	0	64	5	0	1	83
fixed	2	1	7	182474	3	1	1	1	0	674	1	4	0	40	6	0	1	86
fixed	2	1	8	183965	2	3	3	1	0	875	1	4	0	56	7	0	1	88
fixed	2	1	9	185156	3	2	2	1	0	505	1	4	0	48	8	0	1	89
fixed	2	1	10	186500	1	4	4	1	0	504	1	4	0	64	9	0	1	90
fixed	2	1	11	187754	5	2	2	1	0	811	1	4	0	48	10	0	1	91
fixed	2	1	12	189026	4	3	3	1	0	525	1	4	0	56	11	0	1	92
fixed	2	2	1	190691	4	1	1	1	0	686	1	4	0	40	12	0	1	92
fixed	2	2	2	192088	1	2	2	1	0	971	1	4	0	48	13	0	1	93
fixed	2	2	3	193621	6	4	4	1	0	610	1	4	0	64	14	0	1	93
fixed	2	2	4	194713	2	1	1	1	0	684	1	4	0	40	15	0	1	94
fixed	2	2	5	195756	5	3	3	1	0	640	1	4	0	56	16	0	1	94
fixed	2	2	6	197016	6	4	4	1	0	618	1	4	0	64	17	0	1	94
